PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
Victor Wembanyama,San Antonio Spurs,Metropolitans 92 (France),2023,1,1,1
Tristan Vukcevic,Washington Wizards,Real Madrid Baloncesto (Spain),2023,2,12,42
Trayce Jackson-Davis,Washington Wizards,Indiana,2023,2,27,57
Toumani Camara,Phoenix Suns,Dayton,2023,2,22,52
Taylor Hendricks,Utah Jazz,Central Florida,2023,1,9,9
Tarik Biberovic,Memphis Grizzlies,Fenerbahce S.K. (Turkey),2023,2,26,56
Sidy Cissoko,San Antonio Spurs,Ignite (G League),2023,2,14,44
Seth Lundy,Atlanta Hawks,Penn State,2023,2,16,46
Scoot Henderson,Portland Trail Blazers,Ignite (G League),2023,1,3,3
Rayan Rupert,Portland Trail Blazers,Breakers (New Zealand),2023,2,13,43
Olivier-Maxence Prosper,Sacramento Kings,Marquette,2023,1,24,24
Noah Clowney,Brooklyn Nets,Alabama,2023,1,21,21
Nick Smith Jr.,Charlotte Hornets,Arkansas,2023,1,27,27
Mouhamed Gueye,Charlotte Hornets,Washington State,2023,2,9,39
Mojave King,Los Angeles Lakers,Ignite (G League),2023,2,17,47
Maxwell Lewis,Denver Nuggets,Pepperdine,2023,2,10,40
Marcus Sasser,Memphis Grizzlies,Houston,2023,1,25,25
Leonard Miller,San Antonio Spurs,Ignite (G League),2023,2,3,33
Kris Murray,Portland Trail Blazers,Iowa,2023,1,23,23
Kobe Bufkin,Atlanta Hawks,Michigan,2023,1,15,15
Kobe Brown,LA Clippers,Missouri,2023,1,30,30
Keyonte George,Utah Jazz,Baylor,2023,1,16,16
Keyontae Johnson,Oklahoma City Thunder,Kansas State,2023,2,20,50
Julian Strawther,Indiana Pacers,Gonzaga,2023,1,29,29
Julian Phillips,Boston Celtics,Tennessee,2023,2,5,35
Jordan Walsh,Sacramento Kings,Arkansas,2023,2,8,38
Jordan Miller,LA Clippers,Miami (FL),2023,2,18,48
Jordan Hawkins,New Orleans Pelicans,Connecticut,2023,1,14,14
Jett Howard,Orlando Magic,Michigan,2023,1,11,11
Jaylen Clark,Minnesota Timberwolves,California-Los Angeles,2023,2,23,53
Jarace Walker,Washington Wizards,Houston,2023,1,8,8
James Nnaji,Detroit Pistons,FC Barcelona Basquet (Spain),2023,2,1,31
Jalen Wilson,Brooklyn Nets,Kansas,2023,2,21,51
Jalen Slawson,Sacramento Kings,Furman,2023,2,24,54
Jalen Pickett,Indiana Pacers,Penn State,2023,2,2,32
Jalen Hood-Schifino,Los Angeles Lakers,Indiana,2023,1,17,17
Jaime Jaquez Jr.,Miami Heat,California-Los Angeles,2023,1,18,18
Isaiah Wong,Indiana Pacers,Miami (FL),2023,2,25,55
Hunter Tyson,Oklahoma City Thunder,Clemson,2023,2,7,37
Gradey Dick,Toronto Raptors,Kansas,2023,1,13,13
GG Jackson,Memphis Grizzlies,South Carolina,2023,2,15,45
